"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"EXT_FUN_0005d004","External[0005d004]","External Function","<EXTERNAL>","Default","1","0"
"EXT_FUN_0005d13c","External[0005d13c]","External Function","<EXTERNAL>","Default","1","0"
"EXT_FUN_0005d858","External[0005d858]","External Function","<EXTERNAL>","Default","1","0"
"EXT_FUN_0005dfe0","External[0005dfe0]","External Function","<EXTERNAL>","Default","1","0"
"EXT_FUN_a000dfac","External[a000dfac]","External Function","<EXTERNAL>","Default","1","0"
"FUN_000000a0","000000a0","Function","Global","Default","22","0"
"FUN_000000b0","000000b0","Function","Global","Default","33","1"
"FUN_00005e2c","00005e2c","Function","Global","Default","0","0"
"setjmp","00005f2c","Function","Global","User Defined","0","0"
"ResetGraph","00005f3c","Function","Global","User Defined","0","0"
"SYS_OBJ_3C","00005f78","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_4C","00005f88","Instruction Label","Global","Imported","2","0"
"SYS_OBJ_68","00005fa4","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_110","0000604c","Function","Global","User Defined","0","0"
"SYS_OBJ_144","00006080","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_160","0000609c","Function","Global","User Defined","0","0"
"SetGraphDebug","000060b0","Function","Global","Imported","0","0"
"SYS_OBJ_1C0","000060fc","Instruction Label","Global","Imported","1","0"
"SetGraphQueue","0000610c","Function","Global","Imported","0","0"
"SYS_OBJ_21C","00006158","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_25C","00006198","Instruction Label","Global","Imported","1","0"
"GetGraphDebug","000061b0","Function","Global","User Defined","0","0"
"DrawSyncCallback","000061c0","Function","Global","Imported","0","0"
"SYS_OBJ_2C8","00006204","Instruction Label","Global","Imported","1","0"
"SetDispMask","00006220","Function","Global","Imported","0","0"
"SYS_OBJ_32C","00006268","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_340","0000627c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_358","00006294","Instruction Label","Global","Imported","1","0"
"DrawSync","000062b8","Function","Global","User Defined","0","0"
"SYS_OBJ_3B8","000062f4","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_3E4","00006320","Function","Global","Imported","0","0"
"SYS_OBJ_420","0000635c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_4A0","000063dc","Instruction Label","Global","Imported","7","0"
"SYS_OBJ_4AC","000063e8","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_4B4","000063f0","Function","Global","User Defined","0","0"
"SYS_OBJ_4F0","0000642c","Function","Global","User Defined","1","0"
"ClearImage","0000643c","Function","Global","Imported","0","0"
"ClearImage2","000064cc","Function","Global","Imported","0","0"
"LoadImage","00006564","Function","Global","Imported","0","0"
"StoreImage","000065c4","Function","Global","Imported","0","0"
"MoveImage","00006624","Function","Global","Imported","0","0"
"SYS_OBJ_740","0000667c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_788","000066c4","Function","Global","User Defined","1","0"
"ClearOTag","000066dc","Function","Global","User Defined","0","0"
"SYS_OBJ_7E4","00006720","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_7F8","00006734","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_820","0000675c","Instruction Label","Global","Imported","1","0"
"ClearOTagR","000067a4","Function","Global","User Defined","0","0"
"SYS_OBJ_8B0","000067ec","Instruction Label","Global","Imported","1","0"
"DrawPrim","00006850","Function","Global","Imported","0","0"
"DrawOTag","000068ac","Function","Global","User Defined","0","0"
"SYS_OBJ_9AC","000068e8","Instruction Label","Global","Imported","1","0"
"PutDrawEnv","0000691c","Function","Global","Imported","0","0"
"SYS_OBJ_A2C","00006968","Instruction Label","Global","Imported","1","0"
"DrawOTagEnv","000069dc","Function","Global","Imported","0","0"
"SYS_OBJ_AF8","00006a34","Instruction Label","Global","Imported","1","0"
"GetDrawEnv","00006ab4","Function","Global","Imported","0","0"
"PutDispEnv","00006ae8","Function","Global","Imported","0","0"
"SYS_OBJ_BFC","00006b38","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_CA4","00006be0","Instruction Label","Global","Imported","4","0"
"SYS_OBJ_CC4","00006c00","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_CD8","00006c14","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_CEC","00006c28","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_D04","00006c40","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_D28","00006c64","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_D38","00006c74","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_D48","00006c84","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_D4C","00006c88","Function","Global","User Defined","1","0"
"SYS_OBJ_D60","00006c9c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_D6C","00006ca8","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_D90","00006ccc","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_E08","00006d44","Instruction Label","Global","Imported","4","0"
"SYS_OBJ_E28","00006d64","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_E3C","00006d78","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_E78","00006db4","Instruction Label","Global","Imported","4","0"
"SYS_OBJ_EE0","00006e1c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_F0C","00006e48","Instruction Label","Global","Imported","2","0"
"SYS_OBJ_F40","00006e7c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_F44","00006e80","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_F60","00006e9c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_F64","00006ea0","Function","Global","User Defined","1","0"
"SYS_OBJ_F80","00006ebc","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_F9C","00006ed8","Instruction Label","Global","Imported","2","0"
"SYS_OBJ_FD0","00006f0c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_FD4","00006f10","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_FF0","00006f2c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_FF4","00006f30","Function","Global","User Defined","1","0"
"SYS_OBJ_100C","00006f48","Function","Global","User Defined","0","0"
"SYS_OBJ_1018","00006f54","Instruction Label","Global","Imported","3","0"
"SYS_OBJ_1074","00006fb0","Instruction Label","Global","Imported","1","0"
"GetDispEnv","00006fe0","Function","Global","Imported","0","0"
"GetODE","00007014","Function","Global","Imported","0","0"
"SetDrawArea","00007044","Function","Global","Imported","0","0"
"SetDrawOffset","000070c4","Function","Global","Imported","0","0"
"SetDrawEnv","00007104","Function","Global","Imported","0","0"
